Name,Address,Zip/Postal Code,Country,Lat,Lng,Weight,Remarks,Icon Color,Icon Shape
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET,545088.0,Singapore,,,,,#c00,
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE,449149.0,Singapore,,,,,#c00,
NEW TOWN PRIMARY SCHOOL,300 Tanglin Halt Road,148812.0,Singapore,,,,,#c00,
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4,769028.0,Singapore,,,,,#c00,
NAN HUA PRIMARY SCHOOL,30 JALAN LEMPENG,128806.0,Singapore,,,,,#c00,
NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK,545080.0,Singapore,,,,,#c00,
MILLENNIA INSTITUTE,60 Bukit Batok West Avenue 8,658965.0,Singapore,,,,,#c00,
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71,518798.0,Singapore,,,,,#c00,
MEE TOH SCHOOL,21 EDGEDALE PLAINS,828867.0,Singapore,,,,,#c00,
MAYFLOWER PRIMARY SCHOOL,200 ANG MO KIO AVE 5,569878.0,Singapore,,,,,#c00,
MARSILING SECONDARY SCHOOL,12 MARSILING ROAD,739110.0,Singapore,,,,,#c00,
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD,368051.0,Singapore,,,,,#c00,
MAHA BODHI SCHOOL,10 UBI AVENUE 1,408931.0,Singapore,,,,,#c00,
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN STREET 13,579795.0,Singapore,,,,,#c00,
MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8,538785.0,Singapore,,,,,#c00,
KENT RIDGE SECONDARY SCHOOL,147 WEST COAST ROAD,127368.0,Singapore,,,,,#c00,
SPECTRA SECONDARY SCHOOL,1 WOODLANDS DRIVE 64,737758.0,Singapore,,,,,#c00,
SINGAPORE SPORTS SCHOOL,1 Champions Way,737913.0,Singapore,,,,,#c00,
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190 DUNEARN ROAD,309437.0,Singapore,,,,,#c00,
SI LING SECONDARY SCHOOL,11 MARSILING LANE,739148.0,Singapore,,,,,#c00,
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51,649332.0,Singapore,,,,,#c00,
SERANGOON JUNIOR COLLEGE,1033 UPPER SERANGOON ROAD,534768.0,Singapore,,,,,#c00,
SENGKANG GREEN PRIMARY SCHOOL,15 Fernvale Road,797636.0,Singapore,,,,,#c00,
SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK,545166.0,Singapore,,,,,#c00,
SCHOOL OF SCIENCE AND TECHNOLOGY,1 Technology Drive,138572.0,Singapore,,,,,#c00,
ROSYTH SCHOOL,21 Serangoon North Avenue 4,555855.0,Singapore,,,,,#c00,
RIVERSIDE SECONDARY SCHOOL,3 WOODLANDS STREET 81,738524.0,Singapore,,,,,#c00,
RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN,237993.0,Singapore,,,,,#c00,
RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3,469719.0,Singapore,,,,,#c00,
RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE,99840.0,Singapore,,,,,#c00,
QUEENSTOWN SECONDARY SCHOOL,1 STRATHMORE ROAD,148800.0,Singapore,,,,,#c00,
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81,738525.0,Singapore,,,,,#c00,
PUNGGOL VIEW PRIMARY SCHOOL,9 Punggol Place,828845.0,Singapore,,,,,#c00,
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8,538787.0,Singapore,,,,,#c00,
POI CHING SCHOOL,21 TAMPINES STREET 71,529067.0,Singapore,,,,,#c00,
PIONEER PRIMARY SCHOOL,23 JURONG WEST STREET 81,649076.0,Singapore,,,,,#c00,
PEIRCE SECONDARY SCHOOL,10 SIN MING WALK,575566.0,Singapore,,,,,#c00,
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5,129857.0,Singapore,,,,,#c00,
PEI CHUN PUBLIC SCHOOL,16 TOA PAYOH LORONG 7,319320.0,Singapore,,,,,#c00,
ST. GABRIEL'S SECONDARY SCHOOL,24 SERANGOON AVENUE 1,556140.0,Singapore,,,,,#c00,
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51,538720.0,Singapore,,,,,#c00,
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3,556108.0,Singapore,,,,,#c00,
XINMIN SECONDARY SCHOOL,11 HOUGANG AVENUE 8,538789.0,Singapore,,,,,#c00,
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91,649036.0,Singapore,,,,,#c00,
WOODLANDS RING SECONDARY SCHOOL,10 WOODLANDS RING ROAD,738239.0,Singapore,,,,,#c00,
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50,738853.0,Singapore,,,,,#c00,
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11,519075.0,Singapore,,,,,#c00,
WESTWOOD PRIMARY SCHOOL,1 Jurong West Street 73,649188.0,Singapore,,,,,#c00,
WEST SPRING SECONDARY SCHOOL,61 SENJA ROAD,677737.0,Singapore,,,,,#c00,
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72,649223.0,Singapore,,,,,#c00,
WATERWAY PRIMARY SCHOOL,70 Punggol Drive,828802.0,Singapore,,,,,#c00,
UNITY SECONDARY SCHOOL,20 CHOA CHU KANG STREET 62,689143.0,Singapore,,,,,#c00,
TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10,569730.0,Singapore,,,,,#c00,
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3,469300.0,Singapore,,,,,#c00,
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD,479239.0,Singapore,,,,,#c00,
TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK,688261.0,Singapore,,,,,#c00,
TAO NAN SCHOOL,49 MARINE CRESCENT,449761.0,Singapore,,,,,#c00,
TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9,529565.0,Singapore,,,,,#c00,
ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW,455789.0,Singapore,,,,,#c00,
ST. MARGARET'S SECONDARY SCHOOL,111 FARRER ROAD,259240.0,Singapore,,,,,#c00,
ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD,309331.0,Singapore,,,,,#c00,
SIGLAP SECONDARY SCHOOL,10 PASIR RIS DRIVE 10,519385.0,Singapore,,,,,#c00,
ST. ANDREW'S JUNIOR COLLEGE,5 Sorby Adams Drive,357691.0,Singapore,,,,,#c00,
ST. ANDREW'S SECONDARY SCHOOL,15 FRANCIS THOMAS DRIVE,359342.0,Singapore,,,,,#c00,
YUHUA SECONDARY SCHOOL,35 JURONG WEST STREET 41,649406.0,Singapore,,,,,#c00,
ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3,556123.0,Singapore,,,,,#c00,
ZHENGHUA SECONDARY SCHOOL,91 SENJA ROAD,677741.0,Singapore,,,,,#c00,
ZHENGHUA PRIMARY SCHOOL,9 Fajar Road,679002.0,Singapore,,,,,#c00,
ZHANGDE PRIMARY SCHOOL,51 Jalan Membina,169485.0,Singapore,,,,,#c00,
YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1,538884.0,Singapore,,,,,#c00,
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21,529393.0,Singapore,,,,,#c00,
SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD,309437.0,Singapore,,,,,#c00,
SOUTH VIEW PRIMARY SCHOOL,6 Choa Chu Kang Central,689762.0,Singapore,,,,,#c00,
SPRINGDALE PRIMARY SCHOOL,71 Anchorvale Link,544799.0,Singapore,,,,,#c00,
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4,469700.0,Singapore,,,,,#c00,
ST. ANTHONY'S PRIMARY SCHOOL,30 Bukit Batok St 32,659401.0,Singapore,,,,,#c00,
ST. GABRIEL'S PRIMARY SCHOOL,220 Lorong Chuan,556742.0,Singapore,,,,,#c00,
ST. HILDA'S PRIMARY SCHOOL,2 Tampines Ave 3,529706.0,Singapore,,,,,#c00,
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,569868.0,Singapore,,,,,#c00,
YISHUN JUNIOR COLLEGE,3 YISHUN RING ROAD,768675.0,Singapore,,,,,#c00,
YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71,768516.0,Singapore,,,,,#c00,
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3,469623.0,Singapore,,,,,#c00,
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24,609558.0,Singapore,,,,,#c00,
OUTRAM SECONDARY SCHOOL,3 YORK HILL,168622.0,Singapore,,,,,#c00,
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21,518968.0,Singapore,,,,,#c00,
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LOR AH SOO,536742.0,Singapore,,,,,#c00,
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE,597610.0,Singapore,,,,,#c00,
PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK,797702.0,Singapore,,,,,#c00,
RAFFLES GIRLS' PRIMARY SCHOOL,21 Hillcrest Road,289072.0,Singapore,,,,,#c00,
RAFFLES INSTITUTION,1 RAFFLES INSTITUTION LANE,575954.0,Singapore,,,,,#c00,
REGENT SECONDARY SCHOOL,50 CHOA CHU KANG NORTH 5,689621.0,Singapore,,,,,#c00,
RIVER VALLEY HIGH SCHOOL,6 BOON LAY AVENUE,649961.0,Singapore,,,,,#c00,
RIVERSIDE PRIMARY SCHOOL,110 Woodlands Crescent,737803.0,Singapore,,,,,#c00,
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52,649295.0,Singapore,,,,,#c00,
SERANGOON GARDEN SECONDARY SCHOOL,21 SERANGOON NORTH AVENUE 1,555889.0,Singapore,,,,,#c00,
PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4,556094.0,Singapore,,,,,#c00,
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD,768687.0,Singapore,,,,,#c00,
PIONEER JUNIOR COLLEGE,21 Teck Whye Walk,688258.0,Singapore,,,,,#c00,
PIONEER SECONDARY SCHOOL,21 JURONG WEST STREET 81,649075.0,Singapore,,,,,#c00,
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845.0,Singapore,,,,,#c00,
PUNGGOL COVE PRIMARY SCHOOL,52 Sumang Walk,828674.0,Singapore,,,,,#c00,
PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS,828870.0,Singapore,,,,,#c00,
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE,128104.0,Singapore,,,,,#c00,
QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR,149303.0,Singapore,,,,,#c00,
QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE,149295.0,Singapore,,,,,#c00,
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6,659762.0,Singapore,,,,,#c00,
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH,319580.0,Singapore,,,,,#c00,
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54,689189.0,Singapore,,,,,#c00,
LAKESIDE PRIMARY SCHOOL,161 Corporation Walk,618310.0,Singapore,,,,,#c00,
NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE,288683.0,Singapore,,,,,#c00,
NANYANG PRIMARY SCHOOL,52 KING'S ROAD,268097.0,Singapore,,,,,#c00,
NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD,288913.0,Singapore,,,,,#c00,
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD,768689.0,Singapore,,,,,#c00,
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657.0,Singapore,,,,,#c00,
NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32,529283.0,Singapore,,,,,#c00,
NORTH VISTA PRIMARY SCHOOL,20 Compassvale Link,544974.0,Singapore,,,,,#c00,
NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD,768692.0,Singapore,,,,,#c00,
NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22,768578.0,Singapore,,,,,#c00,
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52,659243.0,Singapore,,,,,#c00,
LOYANG SECONDARY SCHOOL,12 PASIR RIS STREET 11,519073.0,Singapore,,,,,#c00,
MACPHERSON SECONDARY SCHOOL,121 CIRCUIT ROAD,379499.0,Singapore,,,,,#c00,
MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1,408940.0,Singapore,,,,,#c00,
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD,738927.0,Singapore,,,,,#c00,
MARYMOUNT CONVENT SCHOOL,430 Lorong 1 Toa Payoh,319759.0,Singapore,,,,,#c00,
MAYFLOWER SECONDARY SCHOOL,2 ANG MO KIO STREET 21,569384.0,Singapore,,,,,#c00,
MERIDIAN JUNIOR COLLEGE,21 Pasir Ris Street 71,518799.0,Singapore,,,,,#c00,
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive,599986.0,Singapore,,,,,#c00,
METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE,599986.0,Singapore,,,,,#c00,
NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1,129956.0,Singapore,,,,,#c00,
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS,828869.0,Singapore,,,,,#c00,
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52,518866.0,Singapore,,,,,#c00,
EUNOS PRIMARY SCHOOL,95 JALAN EUNOS Eunos Primary School,419529.0,Singapore,,,,,#c00,
FAIRFIELD METHODIST SCHOOL (SECONDARY),102 Dover Road Fairfield Methodist Secondary,139649.0,Singapore,,,,,#c00,
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786.0,Singapore,,,,,#c00,
HONG KAH SECONDARY SCHOOL,931 JURONG WEST STREET 42,649370.0,Singapore,,,,,#c00,
HONG WEN SCHOOL,30 TOWNER ROAD,327829.0,Singapore,,,,,#c00,
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93,534238.0,Singapore,,,,,#c00,
